Postcode,Latitude,Longitude
BT32,54.3362,-6.24739
BT33,54.2234,-5.89073
BT34,54.1533,-6.18186
BT35,54.165,-6.43931
BT36,54.6781,-5.95966
BT37,54.6763,-5.90844
BT38,54.7288,-5.80099
BT39,54.7451,-6.01883
BT40,54.8467,-5.82293
BT41,54.7311,-6.25243
BT42,54.8548,-6.27679
BT43,54.8898,-6.2667
BT44,54.9729,-6.28435
BT45,54.7597,-6.63884
BT46,54.8653,-6.66286
BT47,54.9804,-7.23072
BT48,55.0091,-7.3275
BT49,55.0474,-6.95224
BT51,55.0611,-6.68279
BT52,55.1336,-6.65597
BT53,55.085,-6.47735
BT54,55.2043,-6.25663
BT55,55.1796,-6.70962
BT56,55.1974,-6.65057
BT57,55.2033,-6.51879
BT58,,
BT60,54.2927,-6.64766
BT61,54.3668,-6.62627
BT62,54.4129,-6.46463
BT63,54.4084,-6.39247
BT64,54.4492,-6.38882
BT65,54.4447,-6.36611
BT66,54.4553,-6.33337
BT67,54.4867,-6.26889
BT68,54.3642,-6.84796
BT69,54.4201,-6.9498
BT70,54.5145,-6.88143
BT71,54.5127,-6.70605
BT74,54.3447,-7.66332
BT75,54.3736,-7.31554
BT76,54.4205,-7.19253
BT77,54.4292,-7.12046
BT78,54.5725,-7.37194
BT79,54.6222,-7.20452
BT80,54.6459,-6.74346
BT81,54.6963,-7.6116
BT82,54.8263,-7.43151
BT92,54.2239,-7.46617
BT93,54.4676,-7.82625
BT94,54.3764,-7.53661
BT99,54.6027,-5.92249
CA1,54.8871,-2.91833
CA2,54.8847,-2.95065
CA3,54.9062,-2.93996
CA4,54.8569,-2.8213
CA5,54.8211,-3.21004
CA6,54.9867,-2.86892
CA7,54.8086,-3.23525
CA8,54.9396,-2.68883
CA9,54.8014,-2.41746
CA10,54.6148,-2.6624
CA11,54.6649,-2.78161
CA12,54.6023,-3.13441
CA13,54.6606,-3.36793
CA14,54.6351,-3.53951
CA15,54.7118,-3.48202
CA16,54.574,-2.4853
CA17,54.4794,-2.35051
CA18,54.3546,-3.39042
CA19,54.3872,-3.38677
CA20,54.4099,-3.46344
CA21,54.4453,-3.51653
CA22,54.4803,-3.5323
CA23,54.5138,-3.49508
CA24,54.5147,-3.54326
CA25,54.5221,-3.51966
CA26,54.5442,-3.48588
CA27,54.4909,-3.59291
CA28,54.5435,-3.57972
CA95,54.6448,-3.56641
CA99,54.8908,-2.94382
CB1,52.1847,0.167062
CB2,52.1719,0.129486
CB3,52.2142,0.0341675
CB4,52.2437,0.117651
CB5,52.2338,0.200112
CB6,52.4036,0.224788
CB7,52.3674,0.315181
CB8,52.2333,0.421053
CB9,52.0831,0.439843
CB10,52.0287,0.257353
CB11,52.0017,0.213876
CB21,52.1301,0.279878
CB22,52.1335,0.136006
CB23,52.2167,-0.0223566
CB24,52.276,0.0831837
CB25,52.2573,0.247131
CF1,51.4764,-3.18195
CF2,51.4979,-3.16238
CF3,51.5181,-3.11863
CF4,51.5221,-3.21915
CF5,51.4831,-3.24193
CF6,51.4174,-3.26763
CF7,51.5072,-3.4185
CF8,51.6297,-3.2357
CF10,51.4737,-3.17731
CF11,51.4708,-3.19284
CF14,51.5204,-3.20213
CF15,51.5336,-3.27074
CF21,,
CF23,51.5134,-3.14465
CF24,51.4848,-3.16639
CF30,51.5196,-3.11956
CF31,51.5077,-3.57542
CF32,51.5575,-3.58299
CF33,51.5245,-3.68723
CF34,51.6107,-3.65265
CF35,51.5213,-3.52816
CF36,51.4839,-3.69977
CF37,51.6014,-3.3344
CF38,51.5609,-3.33348
CF39,51.6013,-3.42685
CF40,51.6205,-3.45285
CF41,51.6478,-3.48275
CF42,51.6667,-3.52203
